data_source,n_dayperson,parameter_id,parameter,test,detector,peak_detection_rate_tp,peak_tp_to_tn_ratio,days_to_50pct_detection,source_file
real_biomarkers,10,1003,AISI,ad,Anderson-Darling,0.104,2.971428571428571,,biomarkers_detection_rate_metrics_10.csv
real_biomarkers,10,1003,AISI,led,AIC,0.633,1.4859154929577465,5.917525773194445,biomarkers_detection_rate_metrics_10.csv
real_biomarkers,10,8,CRP,ad,Anderson-Darling,0.094,2.685714285714285,,biomarkers_detection_rate_metrics_10.csv
real_biomarkers,10,8,CRP,led,AIC,0.542,1.25754060324826,11.552083333333334,biomarkers_detection_rate_metrics_10.csv
real_biomarkers,10,1009,NLR,ad,Anderson-Darling,0.184,5.575757575757575,,biomarkers_detection_rate_metrics_10.csv
real_biomarkers,10,1009,NLR,led,AIC,0.632,1.401330376940133,10.744,biomarkers_detection_rate_metrics_10.csv
real_biomarkers,10,1011,NMR,ad,Anderson-Darling,0.105,3.620689655172413,,biomarkers_detection_rate_metrics_10.csv
real_biomarkers,10,1011,NMR,led,AIC,0.542,1.2488479262672811,12.797979797974538,biomarkers_detection_rate_metrics_10.csv
real_biomarkers,10,1010,PLR,ad,Anderson-Darling,0.103,3.029411764705882,,biomarkers_detection_rate_metrics_10.csv
real_biomarkers,10,1010,PLR,led,AIC,0.564,1.2674157303370783,9.281690140844908,biomarkers_detection_rate_metrics_10.csv
real_biomarkers,10,1002,SII,ad,Anderson-Darling,0.157,5.233333333333333,,biomarkers_detection_rate_metrics_10.csv
real_biomarkers,10,1002,SII,led,AIC,0.646,1.4681818181818185,6.208333333321759,biomarkers_detection_rate_metrics_10.csv
real_biomarkers,10,1001,SIRI,ad,Anderson-Darling,0.144,4.64516129032258,,biomarkers_detection_rate_metrics_10.csv
real_biomarkers,10,1001,SIRI,led,AIC,0.625,1.4204545454545454,9.544378698217592,biomarkers_detection_rate_metrics_10.csv
real_biomarkers,50,1003,AISI,ad,Anderson-Darling,0.421,15.035714285714285,,biomarkers_detection_rate_metrics_50.csv
