parameter_id,parameter,test,peak_detection_rate_tp,peak_tp_to_tn_ratio,days_to_50pct_detection
1001,SIRI,ad,0.555,16.81818181818182,
1001,SIRI,led,0.846,1.8552631578947367,7.837912087905092
1002,SII,ad,0.552,19.03448275862069,
1002,SII,led,0.873,1.9314159292035398,3.6363636363541665
1003,AISI,ad,0.421,15.035714285714285,
1003,AISI,led,0.872,1.9595505617977527,2.3969849246180557
1009,NLR,ad,0.676,20.484848484848484,12.387323943657407
1009,NLR,led,0.839,1.9243119266055044,9.247191011226851
1010,PLR,ad,0.284,8.606060606060606,
1010,PLR,led,0.725,1.68997668997669,0.0
1011,NMR,ad,0.377,11.424242424242424,
1011,NMR,led,0.696,1.6186046511627905,10.544378698217592
8,CRP,ad,0.212,5.435897435897436,
8,CRP,led,0.665,1.4810690423162585,8.49282296650463
