date,test,detection_rate,n_iterations
2000-02-12,ad,0.023,1000
2000-02-12,chow,0.398,1000
2000-02-12,ks,0.026,1000
2000-02-12,led,0.394,1000
2000-02-12,mwu,0.021,1000
2000-02-13,ad,0.028,1000
2000-02-13,chow,0.414,1000
2000-02-13,ks,0.035,1000
2000-02-13,led,0.398,1000
2000-02-13,mwu,0.023,1000
2000-02-14,ad,0.024,1000
2000-02-14,chow,0.405,1000
2000-02-14,ks,0.028,1000
2000-02-14,led,0.403,1000
2000-02-14,mwu,0.025,1000
2000-02-15,ad,0.023,1000
2000-02-15,chow,0.412,1000
2000-02-15,ks,0.021,1000
2000-02-15,led,0.42,1000
2000-02-15,mwu,0.026,1000
2000-02-16,ad,0.021,1000
2000-02-16,chow,0.416,1000
2000-02-16,ks,0.026,1000
2000-02-16,led,0.431,1000
2000-02-16,mwu,0.019,1000
2000-02-17,ad,0.027,1000
2000-02-17,chow,0.405,1000
2000-02-17,ks,0.032,1000
2000-02-17,led,0.429,1000
2000-02-17,mwu,0.027,1000
2000-02-18,ad,0.024,1000
2000-02-18,chow,0.417,1000
2000-02-18,ks,0.021,1000
2000-02-18,led,0.425,1000
2000-02-18,mwu,0.025,1000
2000-02-19,ad,0.029,1000
2000-02-19,chow,0.41,1000
2000-02-19,ks,0.024,1000
2000-02-19,led,0.429,1000
2000-02-19,mwu,0.033,1000
2000-02-20,ad,0.03,1000
2000-02-20,chow,0.425,1000
2000-02-20,ks,0.026,1000
2000-02-20,led,0.429,1000
2000-02-20,mwu,0.029,1000
2000-02-21,ad,0.032,1000
2000-02-21,chow,0.427,1000
2000-02-21,ks,0.03,1000
2000-02-21,led,0.432,1000
2000-02-21,mwu,0.036,1000
2000-02-22,ad,0.031,1000
2000-02-22,chow,0.434,1000
2000-02-22,ks,0.032,1000
2000-02-22,led,0.449,1000
2000-02-22,mwu,0.032,1000
2000-02-23,ad,0.027,1000
2000-02-23,chow,0.445,1000
2000-02-23,ks,0.025,1000
2000-02-23,led,0.449,1000
2000-02-23,mwu,0.031,1000
2000-02-24,ad,0.03,1000
2000-02-24,chow,0.437,1000
2000-02-24,ks,0.03,1000
2000-02-24,led,0.459,1000
2000-02-24,mwu,0.029,1000
2000-02-25,ad,0.03,1000
2000-02-25,chow,0.44,1000
2000-02-25,ks,0.027,1000
2000-02-25,led,0.456,1000
2000-02-25,mwu,0.029,1000
2000-02-26,ad,0.029,1000
2000-02-26,chow,0.442,1000
2000-02-26,ks,0.026,1000
2000-02-26,led,0.462,1000
2000-02-26,mwu,0.025,1000
2000-02-27,ad,0.03,1000
2000-02-27,chow,0.442,1000
2000-02-27,ks,0.025,1000
2000-02-27,led,0.462,1000
2000-02-27,mwu,0.029,1000
2000-02-28,ad,0.029,1000
2000-02-28,chow,0.437,1000
2000-02-28,ks,0.028,1000
2000-02-28,led,0.457,1000
2000-02-28,mwu,0.028,1000
2000-02-29,ad,0.027,1000
2000-02-29,chow,0.431,1000
2000-02-29,ks,0.029,1000
2000-02-29,led,0.451,1000
2000-02-29,mwu,0.026,1000
2000-03-01,ad,0.028,1000
2000-03-01,chow,0.425,1000
2000-03-01,ks,0.029,1000
2000-03-01,led,0.443,1000
2000-03-01,mwu,0.027,1000
2000-03-02,ad,0.025,1000
2000-03-02,chow,0.423,1000
2000-03-02,ks,0.025,1000
2000-03-02,led,0.438,1000
2000-03-02,mwu,0.025,1000
2000-03-03,ad,0.026,1000
2000-03-03,chow,0.414,1000
2000-03-03,ks,0.025,1000
2000-03-03,led,0.439,1000
2000-03-03,mwu,0.028,1000
2000-03-04,ad,0.02,1000
2000-03-04,chow,0.413,1000
2000-03-04,ks,0.02,1000
2000-03-04,led,0.427,1000
2000-03-04,mwu,0.019,1000
2000-03-05,ad,0.021,1000
2000-03-05,chow,0.422,1000
2000-03-05,ks,0.023,1000
2000-03-05,led,0.433,1000
2000-03-05,mwu,0.022,1000
2000-03-06,ad,0.02,1000
2000-03-06,chow,0.421,1000
2000-03-06,ks,0.021,1000
2000-03-06,led,0.438,1000
2000-03-06,mwu,0.022,1000
2000-03-07,ad,0.022,1000
2000-03-07,chow,0.404,1000
2000-03-07,ks,0.02,1000
2000-03-07,led,0.433,1000
2000-03-07,mwu,0.025,1000
2000-03-08,ad,0.023,1000
2000-03-08,chow,0.413,1000
2000-03-08,ks,0.02,1000
2000-03-08,led,0.435,1000
2000-03-08,mwu,0.027,1000
2000-03-09,ad,0.026,1000
2000-03-09,chow,0.404,1000
2000-03-09,ks,0.02,1000
2000-03-09,led,0.428,1000
2000-03-09,mwu,0.027,1000
2000-03-10,ad,0.028,1000
2000-03-10,chow,0.399,1000
2000-03-10,ks,0.023,1000
2000-03-10,led,0.421,1000
